cafe_id,cafe_name,address,feature
ChIJsSyuJj_0aS4RcemBZXiAhYc,Kedai Tjikini,"Kedai Tjikini, Jl. Cikini Raya No.17, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330","outdoor, indoor, vintage, books cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJfYemRwX0aS4RdaYdCViX-5U,Hause Rooftop,"Hause Rooftop, Md Place, Jl. Setia Budi Selatan No.7, RT.5/RW.1, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910","outdoor, indoor, modern cafe, meeting cafe, study cafe, good views, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJ-WUWgGbxaS4RpyA6ZgEyvSQ,Kopi Kalyan,"Kopi Kalyan, Jl. Cikajang No.61, RT.1/RW.5, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170","outdoor, indoor, minimalis cafe, industrial cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJp0ZODSz1aS4RdTVv3fRpvPI,Langit Seduh Rooftop,"Langit Seduh Rooftop, Jl. Taman Kebon Sirih 1 No.3, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250","outdoor, modern cafe, good views, family cafe, smoking, coffee, noncoffee, garden cafe"
ChIJy7e0JS_0aS4R95MRrols1bk,Saudagar Kopi Sabang,"Saudagar Kopi Sabang, Jl. H. Agus Salim No.26F, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340","outdoor, indoor, vintage, minimalis cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJf6MNsRj0aS4RDjI7MBqjIG4,"1/15 Coffee, Menteng","1/15 Coffee, Menteng, Jl. Dr. Kusuma Atmaja No.79, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJ0aVF46v2aS4Rnh8lZ3d5tUQ,Goedkoop,"Goedkoop, Jl. Bendungan Hilir No.62, RT.5/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","outdoor, indoor, vintage, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJZevTJgz1aS4RglNKF1FgdNA,Fami Cafe grand indonesia,"RR39+WX3 Fami Cafe grand indonesia, Foodprint, grand Indonesia shopping Town fifth floor, Jl. M.H. Thamrin, Kebon Melati, Tanah Abang, Central Jakarta City, Jakarta 10230","indoor, modern cafe, meeting cafe, study cafe, family cafe, nonsmoking, coffee, noncoffee"
ChIJHxRrAlzxaS4ROnIj33hO9qc,Pison Coffee Jakarta,"Pison Coffee Jakarta, Jl. Kertanegara Jl. Senopati No.70, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160","outdoor, indoor, industrial cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJHcLzQRLxaS4Rmhp-mn31HRc,One Fifteenth Coffee,"One Fifteenth Coffee, Jl. Gandaria 1 No.63, RT.2/RW.3, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130","outdoor, indoor, minimalis cafe, modern cafe, art cafe, books cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJMZdo9l7xaS4RX260ajTz9-Q,Crematology,"Crematology, Jl. Suryo No.25, RT.3/RW.6, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJJ0U1TiD0aS4RS43bPQZK6Dw,Djournal Coffee,"Djournal Coffee, Grand Indonesia West Mall Ground Floor Lobby Pandawa, Jl M.H Thamrin No 1, Kebon Melati, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJ1V1pomv0aS4RuKukVVZqrI0,Starbucks,"Starbucks, Jl. Pegangsaan Timur No.21, RT.1/RW.1, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","outdoor, indoor, modern cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJWTAQFkf1aS4R5VdtGaOQ60s,Kawisari Cafe & Eatery,"Kawisari Cafe & Eatery, Jl. Kebon Sirih No.77A, RT.1/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340","outdoor, indoor, vintage, art cafe, meeting cafe, study cafe, family cafe, country food, smoking, nonsmoking, coffee, noncoffee"
ChIJ-8lqzk3zaS4Rh2M9FQYV9e4,REN Coffee & Eatery,"REN Coffee & Eatery, Jl. Tebet Barat IX No.30, RT.5/RW.4, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810","outdoor, indoor, minimalis cafe, industrial cafe, meeting cafe, study cafe, family cafe, country food, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJVyllMOL1aS4R5fVisPHnq-M,Ombe Kofie Menteng,"Ombe Kofie Menteng, Jl. HOS. Cokroaminoto No.62A, RT.6/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","outdoor, indoor, vintage, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJn29omlLxaS4R_jLgTKMrEAI,Cecemuwe Cafe and Space - Senayan,"Cecemuwe Cafe and Space - Senayan, Jl. Hang Jebat IX No.6, RT.8/RW.4, Gunung, Kebayoran Baru, South Jakarta City, Jakarta 12120","outdoor, indoor, minimalis cafe, modern cafe, pet cafe, meeting cafe, study cafe, good views, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJPyAcAqj2aS4RvmUSW1Spylw,KLTR Jakarta,"KLTR Jakarta, Jl. K.H. Mas Mansyur No.12, RT.12/RW.11, Karet Tengsin, Tanah Abang, Central Jakarta City, Jakarta 10220","outdoor, indoor, vintage, industrial cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJx_DulDn0aS4Rz1M0qxD0HXc,Workroom Coffee,"Workroom Coffee, Jl. Cikini Raya No.9, Menteng, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330","indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJNVc1Tnj2aS4RJjDPK_m5LPc,Wake Cup Coffee Graha Harmoni,"Wake Cup Coffee Graha Harmoni, Jl. Kaji No.40, RT.10/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130","outdoor, indoor, industrial cafe, art cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJBWSyB_DxaS4RJ-Tmx2YgiWQ,Cafe Kitsune Jakarta,"Cafe Kitsune Jakarta, Ashta at District 8, GF 31& 31A SCBD LOT 28, Jl. Jend. sudirman kav 52-53, RT.8/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","outdoor, indoor, modern cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJAQAAADvxaS4RYy8Y43ojJmg,Cafe De Burse,"Cafe De Burse, Equity Tower Lower Ground Unit E - SCBD lot 9, Jl. Jenderal Sudirman Kavling No.52-53 5, RT.5/RW.3, 3, Senayan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220","indoor, modern cafe, art cafe, country food, smoking, noncoffee"
ChIJW_4bsXP0aS4RdvVxk8IA3vc,PERON SKYCAFE,"PERON SKYCAFE, Yello Hotel, Jl. Minangkabau Timur No.9, RT.6/RW.8, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970","outdoor, minimalis cafe, industrial cafe, art cafe, meeting cafe, study cafe, good views, family cafe, smoking, coffee, noncoffee"
ChIJnauaQJP1aS4RDsAu9OYNn-c,Romansa Jakarta,"Romansa Jakarta, Jl. H. Agus Salim No.18, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340","indoor, vintage, minimalis cafe, art cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJgw8nWvnxaS4RT17DoeMT93o,Little League Jakarta,"Little League Jakarta, Jl. Prof. Joko Sutono SH No.21, RT.14/RW.6, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160","outdoor, indoor, vintage, industrial cafe, art cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJT5y3Kan2aS4RAOEQECMXGX8,KEN ALIY COFFEE - KOPI ENAK SPACES,"KEN ALIY COFFEE - KOPI ENAK SPACES, Jl. Bend. Hilir Gg. 3 No.11, RT.10/RW.1, Bendungan Hilir, Tanah Abang, Central Jakarta City, Jakarta 10210","outdoor, indoor, minimalis cafe, study cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJiRm_8wz3aS4RY177Lp0wIQI,ou tu cafe,"ou tu cafe, Jl. Tanjung Duren Utara 8 No.886, Tj. Duren Utara, Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11470","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJfSWhHbD2aS4RSlEjjjW7Jvc,Upstairs Rooftop Cafe,"Upstairs Rooftop Cafe, Jl. Danau Limboto No.45, RT.5/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","outdoor, indoor, modern cafe, good views, smoking, nonsmoking, coffee, noncoffee"
ChIJe0AHSNT1aS4Ra_RDoELknFw,Diskusi Kopi & Ruang Berbagi Kawi,"Diskusi Kopi & Ruang Berbagi Kawi, Jl. Kawi Raya No.18, RT.6/RW.2, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980","outdoor, indoor, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJG3_xiybyaS4RQ1Dv5Vaq2uI,BONCAFE INDONESIA,"BONCAFE INDONESIA, Jl. RS. Fatmawati Raya No.15A, RT.1/RW.3, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420","indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, nonsmoking, coffee, garden cafe"
ChIJwUYPPlDxaS4RQfXf5-zv3Mg,Blumchen Coffee,"Blumchen Coffee, Fairground SCBD Lot 14, Jl. Jend. Sudirman kav 52-53 No.Kav 52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","indoor, vintage, art cafe, meeting cafe, family cafe, nonsmoking, coffee, noncoffee"
ChIJURGjzivyaS4ROAwJ5HY-wZA,Antipodean Coffee,"Antipodean Coffee, komplek hero kemang, Jl. Kemang Selatan I, RT.8/RW.3, Bangka, Kec. Mampang Prpt., Daerah Khusus Ibukota Jakarta 12730","indoor, modern cafe, meeting cafe, family cafe, nonsmoking, coffee"
ChIJGVSN3fnzaS4R3w9qNDpIbjs,Sky Garden Cafe,"Sky Garden Cafe, Hotel Rasuna Icon Lt. 3A, Jalan Karet Pedurenan No.3, Setiabudi, RT.6/RW.7, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","outdoor, indoor, minimalis cafe, modern cafe, good views, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJW_4P3yfzaS4RgPMpfYJEilQ,The People's Cafe Rajawali,"The People's Cafe Rajawali, Menara Rajawali - Ground Floor, Jl. DR. Ide Anak Agung Gde Agung No.5, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950","indoor, minimalis cafe, modern cafe, art cafe, pet cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJ_2OANZjxaS4RFaJTQ2w8njs,Kopi Cat Cafe by Groovy - Kemang,"Kopi Cat Cafe by Groovy - Kemang, Jl. Kemang Selatan VIII No.63A-B, RT.7/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730","indoor, pet cafe, family cafe, nonsmoking, coffee, noncoffee"
ChIJgw-JUYjxaS4RrEbIUDPCWbQ,MOREAU Chocolatier's Cafe,"MOREAU Chocolatier's Cafe, 13, Jl. Kemang Raya No.31, RT.13/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720","indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, noncoffee"
ChIJyxJ9-5r3aS4Rju8Hgurw9ss,Atap Rumah Cafe,"Atap Rumah Cafe, Jl. Penjernihan IV No.9, RT.4/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","outdoor, indoor, minimalis cafe, good views, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJ09d8yrLzaS4RJSpBe3soAK8,MUG Coffee Kalibata,"MUG Coffee Kalibata, Jl. Kalibata Raya No.1 Kalibata City Apartment Tower Kemuning GF AT-K CT K9-10, RT.9/RW.4, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750","indoor, vintage, art cafe, 24 hours cafe, meeting cafe, study cafe, nonsmoking, coffee, noncoffee"
ChIJ0wJppUjxaS4RowZMZwNYaqY,Chill In Cafe,"Chill In Cafe, STC Senayan Lantai G #129, Jalan Asia Afrika, RT.1/RW.3, Gelora, Jakarta Pusat, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJpfTkUJjzaS4RmNzWVlzVBjI,Fore coffee - Gama tower,"Fore coffee - Gama tower, Jl. H. R. Rasuna Said No.22, RT.2/RW.5, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta 12940","indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, nonsmoking, coffee, noncoffee"
ChIJ-8eV1_bzaS4RGcv6l8kxBsE,Super Cup Coffee Shop,"Super Cup Coffee Shop, Jalan H R Rasuna Said Plaza Festival Lantai GF Kav C 22, RT.2/RW.5, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","outdoor, indoor, industrial cafe, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJL_hVP5TzaS4R7xRcTWCjvQY,Pribadi Cafe by Pribadi Group,"Pribadi Cafe by Pribadi Group, Jl. Dukuh Patra V No.90, Menteng Dalam, Tebet, South Jakarta City, Jakarta 12870","outdoor, minimalis cafe, meeting cafe, family cafe, smoking, coffee, noncoffee"
ChIJqT4xjkz2aS4Rchw7cwhotAk,EVLOGIA CAFE & CO,"EVLOGIA CAFE & CO, Jl. Cisanggiri I No.6, Petogogan, Kebayoran Baru, Jakarta, 12170","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJ801wIyb0aS4RLceC1-Ez7HY,127 Cafe - Kosenda Hotel,"127 Cafe - Kosenda Hotel, Jl. K.H. Wahid Hasyim No.127, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240","indoor, vintage, modern cafe, books cafe, meeting cafe, study cafe, nonsmoking, coffee, noncoffee, garden cafe"
ChIJ1_Zg-yPzaS4RIwjcrpDXCxA,Djournal Coffee - Kuningan City,"Djournal Coffee - Kuningan City, Kuningan City (Nature Lobby Ground Floor unit GF, Jl. Prof. DR. Satrio No.18, RT.14/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Jakarta, Daerah Khusus Ibukota Jakarta 12940","indoor, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJ5264kWf1aS4R9ED7F-k4SFI,1947 Cafe Jakarta,"1947 Cafe Jakarta, Jl. Pramuka No.19B, RT.6/RW.1, Palmeriam, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13140","indoor, industrial cafe, nonsmoking, coffee, noncoffee"
ChIJB69uV3v1aS4Ra5IjAWeQWu4,"Fore Coffee - Cikini, Jakarta","Fore Coffee - Cikini, Jakarta, Jl. Cikini Raya No.75, RT.1/RW.2, Cikini, Menteng, Central Jakarta City, Jakarta 10330","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, good views, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJp8qLSgD0aS4RgRrAqtNTu7I,The People's Cafe,"The People's Cafe, WTC 6 East Terrace Ground Floor Kav 29, Jalan Jendral Sudirman, Kuningan, RT.8/RW.3, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920","indoor, minimalis cafe, modern cafe, art cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJNw5NzfPzaS4RmjeLMDY5IHE,TOMORO COFFEE - The East,"TOMORO COFFEE - The East, The East, Jl. DR. Ide Anak Agung Gde Agung No.1, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta","indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, nonsmoking, coffee, noncoffee"
ChIJYRUKpZTzaS4R23Mg0scMfSA,MAKO COFFEE JAKARTA,"MAKO COFFEE JAKARTA, Jl. Terusan H. R. Rasuna Said No.70, RT.18/RW.2, West Kuningan, Mampang Prapatan, South Jakarta City, Jakarta 12710","outdoor, indoor, minimalis cafe, modern cafe, good views, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJI552ai_1aS4RcUT9cGVR6yI,One Eighty Cafe,"One Eighty Cafe, Thamrin Nine, Podium, Jl. M.H. Thamrin No.10, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10230","indoor, minimalis cafe, modern cafe, family cafe, nonsmoking, coffee, noncoffee"
ChIJGVD9v071aS4RAUZnEuuv9cw,Swiss-Cafe at Swiss-Belresidences Rasuna Epicentrum,"Swiss-Cafe at Swiss-Belresidences Rasuna Epicentrum, Jl. Epicentrum Boulevard Tim., RT.5/RW.1, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","outdoor, indoor, modern cafe, meeting cafe, good views, family cafe, smoking, nonsmoking, noncoffee"
ChIJIVgDwITzaS4RoLDF92SgAB0,"Fore Coffee - Plaza Festival, Jakarta","Fore Coffee - Plaza Festival, Jakarta, Plaza Festival Mall unit GF - 17, Jl. H. R. Rasuna Said No.Kav. 22, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJlTlbeInxaS4R69-iUDBNNtw,BLEUM Coffee - Pacific Place Jakarta,"BLEUM Coffee - Pacific Place Jakarta, Pacific Place Mall Level B1 28 A, RT.5/RW.3, Senayan, Kebayoran Baru, South Jakarta City, Jakarta 12190","indoor, minimalis cafe, modern cafe, nonsmoking, coffee, noncoffee"
ChIJi2bcxOv1aS4RRpyWk30UrUI,C+C Coffee,"C+C Coffee, Jl. Menteng Raya No.70, RT.4/RW.9, Kb. Sirih, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","outdoor, indoor, minimalis cafe, family cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJ9XaW1dXzaS4RdYApBrzQ-Q4,Point Cafe Mall Ambasador,"Point Cafe Mall Ambasador, Mall Ambassador, Jl. Prof. DR. Satrio No.18, RT.11/RW.4, Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta 12940","indoor, minimalis cafe, modern cafe, nonsmoking, coffee, noncoffee"
ChIJC-Gvr3_zaS4Rn6xyGuAxWDE,Venom cafe,"Venom cafe, Wisma argo manunggal, RT.2/RW.2, Karet Semanggi, Setiabudi, South Jakarta City, Jakarta 12930","outdoor, indoor, vintage, modern cafe, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJgfpdJw71aS4Rf9HLMDr7GQ8,Coffee D. Lites,"Coffee D. Lites, Jl. Anggrek 3 No.44, RT.16/RW.7, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","indoor, industrial cafe, family cafe, nonsmoking, coffee, noncoffee"
ChIJrXXKvZLxaS4RiAQB48KKHBQ,Twin House Cipete,"Twin House Cipete, Jl. Cipete Raya No.4B, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, family cafe, country food, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJcwgt_yX0aS4R-914aD6UsyU,Djakarta Kafe,"Djakarta Kafe, Gedung Djakarta Theatre, Jl. M.H. Thamrin No.9, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJ4Umhf13xaS4RyFgMEN82SGw,CHIEF BARBERSHOP & COFFEE - CIRAGIL,"CHIEF BARBERSHOP & COFFEE - CIRAGIL, Jl. Ciragil I No.11, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180","indoor, minimalis cafe, meeting cafe, nonsmoking, coffee, noncoffee"
ChIJR-d4u7LzaS4REMccUOjESM4,Sama Dengan Kalibata,"Sama Dengan Kalibata, Jalan Raya Kalibata No.1, kalibata City Square, Tower Flamboyan CL:18-20, RT.9/RW.4, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750","outdoor, indoor, meeting cafe, study cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee, garden cafe"
ChIJr8K9asvzaS4R19qBYn2g1i4,Kyo Coffee,"Kyo Coffee, Jl. Wirajasa Jl. Raya Jatiwaringin No.1, Cipinang Melayu, Makasar, East Jakarta City, Jakarta 13620","outdoor, indoor, minimalis cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJg7gmT4DxaS4RCzc0ClyYMGw,CHIEF COFFEE - KEMANG,"CHIEF COFFEE - KEMANG, Jl. Kemang Raya No.27 D, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730","indoor, minimalis cafe, art cafe, meeting cafe, study cafe, nonsmoking, coffee, noncoffee"
