like_id,user_id,cafe_id,Kpopers,JapanLovers,AnimalLovers,Quite,MusicLovers,BookLovers,ArtLovers,ViewsLovers,CoffeeLovers,NonCoffeeLovers,groupsComer,outdoor,Indoor,RetroVintage,MinimalisCafe,IndustrialCafe,ModernCafe,ArtCafe,PetCafe,BooksCafe,24HoursCafe,MeetingCafe,StudyCafe,goodViews,FamilyCafe,CountryFood,Smoking,NonSmoking,Coffee,NonCoffee,GardenCafe,vote
27,383,ChIJg7gmT4DxaS4RCzc0ClyYMGw,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0
28,843,ChIJHxRrAlzxaS4ROnIj33hO9qc,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
29,255,ChIJfSWhHbD2aS4RSlEjjjW7Jvc,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
30,75,ChIJcwgt_yX0aS4R-914aD6UsyU,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
31,46,ChIJGVSN3fnzaS4R3w9qNDpIbjs,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
32,226,ChIJ09d8yrLzaS4RJSpBe3soAK8,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1
33,598,ChIJW_4bsXP0aS4RdvVxk8IA3vc,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0
34,429,ChIJ1V1pomv0aS4RuKukVVZqrI0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
35,58,ChIJ9XaW1dXzaS4RdYApBrzQ-Q4,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
36,837,ChIJ801wIyb0aS4RLceC1-Ez7HY,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
37,409,ChIJGVD9v071aS4RAUZnEuuv9cw,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1
38,999,ChIJvQ15L9j1aS4R9Vg1P2V_scw,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
39,325,ChIJiRm_8wz3aS4RY177Lp0wIQI,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
40,299,ChIJmS8JUrT2aS4R99BZY-87klI,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1
41,663,ChIJgfpdJw71aS4Rf9HLMDr7GQ8,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
42,286,ChIJtX1aSBT0aS4RYeoXrSXRWCY,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
43,113,ChIJ6SEPNDz3aS4R4vV0JZXzhx8,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0
44,314,ChIJn29omlLxaS4R_jLgTKMrEAI,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
45,489,ChIJfSWhHbD2aS4RSlEjjjW7Jvc,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
46,997,ChIJgRjK06TxaS4RBD-wD_3NM4c,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
47,618,ChIJg7gmT4DxaS4RCzc0ClyYMGw,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0
48,578,ChIJsQOmkgj0aS4RHs7WWNfPiZE,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
49,639,ChIJx_DulDn0aS4Rz1M0qxD0HXc,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
50,887,ChIJ1_Zg-yPzaS4RIwjcrpDXCxA,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
51,646,ChIJ9XaW1dXzaS4RdYApBrzQ-Q4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
52,760,ChIJTW1sJjbzaS4R3dLZuM7aRVI,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
53,48,ChIJi2bcxOv1aS4RRpyWk30UrUI,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
54,449,ChIJBXQMVOzzaS4RVYIMC8ymGqk,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1
55,313,ChIJtX1aSBT0aS4RYeoXrSXRWCY,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
56,775,ChIJL_hVP5TzaS4R7xRcTWCjvQY,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
57,284,ChIJTW1sJjbzaS4R3dLZuM7aRVI,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
58,497,ChIJ9XaW1dXzaS4RdYApBrzQ-Q4,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
59,387,ChIJAQBAgSb0aS4Rpl46Fe8jWqA,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
60,85,ChIJp8qLSgD0aS4RgRrAqtNTu7I,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0
61,191,ChIJL_hVP5TzaS4R7xRcTWCjvQY,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1
62,372,ChIJGVD9v071aS4RAUZnEuuv9cw,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1
63,808,ChIJYRUKpZTzaS4R23Mg0scMfSA,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1
64,465,ChIJLSH8Jz_0aS4R_fiIMX4JkO8,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1
65,379,ChIJLxBcNEz1aS4Rz-ylGMhisWI,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
66,17,ChIJAQBAgSb0aS4Rpl46Fe8jWqA,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
67,79,ChIJIVgDwITzaS4RoLDF92SgAB0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1
68,373,ChIJw19o1YL0aS4RBaSpx6ev-VQ,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
69,937,ChIJgRjK06TxaS4RBD-wD_3NM4c,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
70,919,ChIJ8ccilZPzaS4R6FvhaRIeJGM,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0
71,41,ChIJcwgt_yX0aS4R-914aD6UsyU,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
72,43,ChIJR-d4u7LzaS4REMccUOjESM4,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
73,718,ChIJ1_Zg-yPzaS4RIwjcrpDXCxA,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
74,239,ChIJBXQMVOzzaS4RVYIMC8ymGqk,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1
75,655,ChIJxzoGIT_0aS4R-8F9vOO-kzk,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1
76,786,ChIJW_4bsXP0aS4RdvVxk8IA3vc,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0
77,670,ChIJ0wJppUjxaS4RowZMZwNYaqY,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0
78,781,ChIJmaMBRFz1aS4RtpAvB4xYGow,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
79,65,ChIJC-Gvr3_zaS4Rn6xyGuAxWDE,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
80,565,ChIJYRUKpZTzaS4R23Mg0scMfSA,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1
81,129,ChIJiRm_8wz3aS4RY177Lp0wIQI,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
82,962,ChIJq4gFVIjxaS4RT7tBSmrflLI,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
83,63,ChIJgRjK06TxaS4RBD-wD_3NM4c,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
84,611,ChIJ-8eV1_bzaS4RGcv6l8kxBsE,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
85,615,ChIJwUYPPlDxaS4RQfXf5-zv3Mg,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0
86,715,ChIJy7e0JS_0aS4R95MRrols1bk,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
87,486,ChIJp8qLSgD0aS4RgRrAqtNTu7I,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1
88,405,ChIJq4gFVIjxaS4RT7tBSmrflLI,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
89,609,ChIJ801wIyb0aS4RLceC1-Ez7HY,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
90,482,ChIJGQ1hkdX1aS4Rq1rdFefMN38,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
91,237,ChIJmaMBRFz1aS4RtpAvB4xYGow,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
92,533,ChIJvQ15L9j1aS4R9Vg1P2V_scw,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
93,435,ChIJ9UFwzvbzaS4R91dtdzt6_U8,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0
94,39,ChIJ5264kWf1aS4R9ED7F-k4SFI,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
95,364,ChIJp0ZODSz1aS4RdTVv3fRpvPI,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0
96,290,ChIJgRjK06TxaS4RBD-wD_3NM4c,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
97,809,ChIJLSH8Jz_0aS4R_fiIMX4JkO8,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1
98,339,ChIJMZdo9l7xaS4RX260ajTz9-Q,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1
99,307,ChIJ6SEPNDz3aS4R4vV0JZXzhx8,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
100,628,ChIJ1V1pomv0aS4RuKukVVZqrI0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
101,920,ChIJ4Umhf13xaS4RyFgMEN82SGw,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
102,740,ChIJR-d4u7LzaS4REMccUOjESM4,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
103,148,ChIJmS8JUrT2aS4R99BZY-87klI,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0
104,811,ChIJwWb9eQj0aS4Rp0okRO3P3-Y,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0
105,759,ChIJf3dvwCT1aS4RHt8NU4_ajeg,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
106,627,ChIJAQAAADvxaS4RYy8Y43ojJmg,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
107,707,ChIJi2bcxOv1aS4RRpyWk30UrUI,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
108,672,ChIJKQIm3L3zaS4RoPhv_j0rx68,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
109,459,ChIJGVD9v071aS4RAUZnEuuv9cw,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1
110,224,ChIJf6MNsRj0aS4RDjI7MBqjIG4,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1
111,304,ChIJnauaQJP1aS4RDsAu9OYNn-c,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
112,521,ChIJNVc1Tnj2aS4RJjDPK_m5LPc,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1
113,541,ChIJ5264kWf1aS4R9ED7F-k4SFI,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
114,755,ChIJ1_Zg-yPzaS4RIwjcrpDXCxA,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
115,976,ChIJW_4P3yfzaS4RgPMpfYJEilQ,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
116,938,ChIJVyllMOL1aS4R5fVisPHnq-M,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
117,836,ChIJy7e0JS_0aS4R95MRrols1bk,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
118,411,ChIJMZdo9l7xaS4RX260ajTz9-Q,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1
119,84,ChIJURGjzivyaS4ROAwJ5HY-wZA,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
120,563,ChIJfSWhHbD2aS4RSlEjjjW7Jvc,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
121,214,ChIJG3_xiybyaS4RQ1Dv5Vaq2uI,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
122,137,ChIJgw8nWvnxaS4RT17DoeMT93o,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1
123,505,ChIJGQ1hkdX1aS4Rq1rdFefMN38,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
124,653,ChIJI552ai_1aS4RcUT9cGVR6yI,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
125,645,ChIJGVSN3fnzaS4R3w9qNDpIbjs,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
126,3,ChIJnauaQJP1aS4RDsAu9OYNn-c,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
127,433,ChIJ5264kWf1aS4R9ED7F-k4SFI,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
128,11,ChIJ1_Zg-yPzaS4RIwjcrpDXCxA,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
129,466,ChIJJ0U1TiD0aS4RS43bPQZK6Dw,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1
130,563,ChIJ1V1pomv0aS4RuKukVVZqrI0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
131,7,ChIJnauaQJP1aS4RDsAu9OYNn-c,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
132,910,ChIJvQ15L9j1aS4R9Vg1P2V_scw,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
133,585,ChIJ1V1pomv0aS4RuKukVVZqrI0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
134,371,ChIJ09d8yrLzaS4RJSpBe3soAK8,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0
135,392,ChIJGVD9v071aS4RAUZnEuuv9cw,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0
136,701,ChIJq4gFVIjxaS4RT7tBSmrflLI,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
137,418,ChIJ-WUWgGbxaS4RpyA6ZgEyvSQ,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
138,496,ChIJtX1aSBT0aS4RYeoXrSXRWCY,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
139,858,ChIJR-d4u7LzaS4REMccUOjESM4,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
140,49,ChIJy7e0JS_0aS4R95MRrols1bk,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
141,636,ChIJcwgt_yX0aS4R-914aD6UsyU,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
